날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021.10.6,143,22.1,19.7,26.5
2021.10.7,143,23.3,18.4,28.6
2021.10.8,143,22.2,20.9,25.3
2021.10.9,143,23.4,20.6,28.9
2021.10.10,143,25.1,20,31.8
2021.10.11,143,17.8,15.4,25.1
2021.10.12,143,15.9,14.7,17.3
2021.10.13,143,18.2,14.7,21.7
2021.10.14,143,19.6,14.6,26
2021.10.15,143,19.2,16.2,24
2021.10.16,143,14.3,8.1,17.4
2021.10.17,143,7.9,3.7,13.8
2021.10.18,143,9.2,2,17.6
2021.10.19,143,11.6,6.8,18.2
2021.10.20,143,10.7,5.1,17.4
2021.10.21,143,11.4,6,16.9
2021.10.22,143,11.8,6.2,18
2021.10.23,143,11.7,5.5,19.3
2021.10.24,143,11.8,5.2,19.9
2021.10.25,143,12.4,7,20.4
2021.10.26,143,12,5,20.2
2021.10.27,143,14.1,9.5,21.4
2021.10.28,143,13.9,5.7,20.6
2021.10.29,143,12.8,7.3,18.9
2021.10.30,143,11.8,7.6,17.8
2021.10.31,143,12.8,6.4,21.6
2021.11.1,143,14.3,7.7,20.1
2021.11.2,143,13,7.6,18.6
2021.11.3,143,12.2,6.2,19.3
2021.11.4,143,12.3,6.4,20.5
2021.11.5,143,12.5,5.4,19.5
2021.11.6,143,13,7.1,20.8
2021.11.7,143,14.2,8.8,20.1
2021.11.8,143,10.9,8.2,17.4
2021.11.9,143,9,6.5,12.5
2021.11.10,143,8.1,5.9,11.6
2021.11.11,143,8.7,6.7,12.8
2021.11.12,143,7.4,5.6,10.4
2021.11.13,143,7.8,1.5,15.1
2021.11.14,143,9.6,3,17.7
2021.11.15,143,9.7,4.2,17.4
2021.11.16,143,9.3,3.3,17.1
2021.11.17,143,9.6,1.9,15.8
2021.11.18,143,10.5,4.4,18.1
2021.11.19,143,11,3.6,18.8
2021.11.20,143,10.7,5.1,18.9
2021.11.21,143,11.4,6.4,16.9
2021.11.22,143,7.4,3.5,12.1
2021.11.23,143,4.4,1.3,7.7
2021.11.24,143,7.7,3.8,12.9
2021.11.25,143,9,1.9,16.2
2021.11.26,143,7.2,3.6,12
2021.11.27,143,5.9,1.4,11.4
2021.11.28,143,5.2,-2.2,13.1
2021.11.29,143,7.2,-0.8,16.1
2021.11.30,143,5.7,3,10.6
2021.12.1,143,2.4,-0.5,4.8
2021.12.2,143,2.6,-1.1,7.6
2021.12.3,143,4.8,1.2,10.3
2021.12.4,143,4.2,0.9,8.7
2021.12.5,143,3.7,-2.2,11.6
2021.12.6,143,5.1,-0.5,12.5
2021.12.7,143,7.5,1.1,14.7
2021.12.8,143,6.6,0.9,13.4
2021.12.9,143,6.5,0.4,12.6
2021.12.10,143,8,2.8,13.4
2021.12.11,143,8.9,3.4,13.1
2021.12.12,143,6.6,-0.2,11.2
2021.12.13,143,0.5,-3.7,5.8
2021.12.14,143,3.7,-2.8,8.9
2021.12.15,143,6.1,-0.8,14.9
2021.12.16,143,6.3,2.5,10.3
2021.12.17,143,0.5,-6,7.8
2021.12.18,143,-3.4,-8.7,2.6
2021.12.19,143,1.2,-3.8,6
2021.12.20,143,4.8,-3,12.7
2021.12.21,143,6.3,-0.6,14.2
2021.12.22,143,4.3,-1.5,12.3
