일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/11/04","871000","1000","0.11","872000","876000","865000","24691","21469159000","61992554000000","71174000"
"2022/11/03","870000","-3000","-0.34","857000","879000","852000","49188","42617483000","61921380000000","71174000"
"2022/11/02","873000","-9000","-1.02","876000","879000","867000","69085","60199907000","62134902000000","71174000"
"2022/11/01","882000","5000","0.57","886000","887000","874000","50346","44298171000","62775468000000","71174000"
"2022/10/31","877000","1000","0.11","884000","892000","871000","39979","35110131000","62419598000000","71174000"
"2022/10/28","876000","3000","0.34","875000","886000","872000","69625","61107519000","62348424000000","71174000"
"2022/10/27","873000","-23000","-2.57","901000","905000","865000","155954","137135039000","62134902000000","71174000"
"2022/10/26","896000","12000","1.36","885000","899000","876000","86307","77062941000","63771904000000","71174000"
"2022/10/25","884000","11000","1.26","878000","895000","868000","118113","104458931000","62917816000000","71174000"
"2022/10/24","873000","26000","3.07","856000","873000","853000","93696","81011806000","62134902000000","71174000"
"2022/10/21","847000","12000","1.44","842000","849000","841000","47811","40437417488","60284378000000","71174000"
"2022/10/20","835000","-12000","-1.42","840000","840000","824000","53252","44300628000","59430290000000","71174000"
"2022/10/19","847000","2000","0.24","845000","860000","841000","59591","50583606000","60284378000000","71174000"
"2022/10/18","845000","15000","1.81","840000","848000","832000","64982","54682041000","60142030000000","71174000"
"2022/10/17","830000","24000","2.98","806000","834000","803000","65499","53690171000","59074420000000","71174000"
"2022/10/14","806000","-1000","-0.12","819000","819000","802000","58212","46984290000","57366244000000","71174000"
"2022/10/13","807000","-13000","-1.59","817000","821000","806000","46872","37994669000","57437418000000","71174000"
"2022/10/12","820000","18000","2.24","803000","824000","796000","57310","46770600000","58362680000000","71174000"
"2022/10/11","802000","-9000","-1.11","810000","815000","795000","52375","41993662000","57081548000000","71174000"
"2022/10/07","811000","-1000","-0.12","808000","819000","805000","52659","42748879000","57722114000000","71174000"
"2022/10/06","812000","5000","0.62","814000","817000","806000","30976","25146410000","57793288000000","71174000"
"2022/10/05","807000","-4000","-0.49","820000","820000","806000","38578","31296627000","57437418000000","71174000"
"2022/10/04","811000","4000","0.50","817000","819000","800000","43322","35148508000","57722114000000","71174000"
"2022/09/30","807000","-6000","-0.74","814000","826000","804000","75555","61437785000","57437418000000","71174000"
"2022/09/29","813000","46000","6.00","790000","825000","789000","179902","146052794000","57864462000000","71174000"
