일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/11/04","592000","3000","0.51","590000","598000","583000","363743","215649789000","138528000000000","234000000"
"2022/11/03","589000","20000","3.51","560000","593000","557000","423465","246609076000","137826000000000","234000000"
"2022/11/02","569000","6000","1.07","564000","585000","560000","587884","336246956000","133146000000000","234000000"
"2022/11/01","563000","35000","6.63","534000","563000","533000","516467","284507717000","131742000000000","234000000"
"2022/10/31","528000","-4000","-0.75","539000","542000","516000","627381","331526483000","123552000000000","234000000"
"2022/10/28","532000","-8000","-1.48","540000","549000","530000","381489","206763746000","124488000000000","234000000"
"2022/10/27","540000","11000","2.08","535000","545000","532000","370279","200117783000","126360000000000","234000000"
"2022/10/26","529000","18000","3.52","517000","530000","514000","445935","233328133000","123786000000000","234000000"
"2022/10/25","511000","2000","0.39","510000","526000","509000","473847","245733032000","119574000000000","234000000"
"2022/10/24","509000","10000","2.00","504000","510000","500000","346950","175720241000","119106000000000","234000000"
"2022/10/21","499000","4000","0.81","491000","499000","489000","211677","104882615000","116766000000000","234000000"
"2022/10/20","495000","-2500","-0.50","499000","500000","484500","301938","148060337500","115830000000000","234000000"
"2022/10/19","497500","8500","1.74","491000","500000","489500","347663","172425197000","116415000000000","234000000"
"2022/10/18","489000","-2500","-0.51","497000","499500","481500","338046","164809047500","114426000000000","234000000"
"2022/10/17","491500","8500","1.76","479500","491500","477000","234777","114305324000","115011000000000","234000000"
"2022/10/14","483000","6000","1.26","487000","489500","479000","234212","113591744500","113022000000000","234000000"
"2022/10/13","477000","-6000","-1.24","484500","492500","476500","305035","147505636500","111618000000000","234000000"
"2022/10/12","483000","-14500","-2.91","497500","498000","475500","372446","179978844500","113022000000000","234000000"
"2022/10/11","497500","15000","3.11","482000","497500","477500","482189","236796922500","116415000000000","234000000"
"2022/10/07","482500","4500","0.94","474500","486000","474000","278082","134037047000","112905000000000","234000000"
"2022/10/06","478000","9000","1.92","470000","487000","466500","355060","170841758000","111852000000000","234000000"
"2022/10/05","469000","24500","5.51","455000","470500","448500","500217","231191701500","109746000000000","234000000"
"2022/10/04","444500","18000","4.22","429500","446000","415000","385281","167012070000","104013000000000","234000000"
"2022/09/30","426500","-13500","-3.07","433000","438500","420000","359392","153804360500","99801000000000","234000000"
"2022/09/29","440000","6500","1.50","440500","448000","436500","315304","139837131500","102960000000000","234000000"
"2022/09/28","433500","-10500","-2.36","444000","451500","427000","434645","189714197000","101439000000000","234000000"
"2022/09/27","444000","-2500","-0.56","447500","451000","435000","365111","161626660000","103896000000000","234000000"
"2022/09/26","446500","-14000","-3.04","453000","458000","440000","446277","199778293500","104481000000000","234000000"
"2022/09/23","460500","-28000","-5.73","489000","489500","460000","434212","203105102200","107757000000000","234000000"
"2022/09/22","488500","9000","1.88","475500","492000","473500","270673","130675612000","114309000000000","234000000"
"2022/09/21","479500","-4000","-0.83","481500","487500","476500","251723","121298049080","112203000000000","234000000"
"2022/09/20","483500","6000","1.26","484000","491000","475500","321658","155579034500","113139000000000","234000000"
"2022/09/19","477500","-28500","-5.63","507000","507000","475000","524253","254295386000","111735000000000","234000000"
"2022/09/16","506000","-5000","-0.98","512000","516000","501000","975540","494626736000","118404000000000","234000000"
"2022/09/15","511000","12500","2.51","499500","513000","497500","447162","226497319000","119574000000000","234000000"
"2022/09/14","498500","1500","0.30","487000","500000","486500","412616","204743471500","116649000000000","234000000"
"2022/09/13","497000","10500","2.16","492000","500000","485500","437949","216824468500","116298000000000","234000000"
"2022/09/08","486500","-1500","-0.31","492500","494000","486000","327964","160413041500","113841000000000","234000000"
"2022/09/07","488000","4500","0.93","481500","490500","481000","276296","134388197500","114192000000000","234000000"
"2022/09/06","483500","500","0.10","483000","486000","475000","205898","99104211000","113139000000000","234000000"
"2022/09/05","483000","1000","0.21","481500","492000","480500","323405","156727465500","113022000000000","234000000"
"2022/09/02","482000","19000","4.10","467500","487000","466500","731539","349349353500","112788000000000","234000000"
"2022/09/01","463000","500","0.11","455500","469000","455000","289808","134255218000","108342000000000","234000000"
"2022/08/31","462500","-3000","-0.64","462500","466000","455000","432953","199598615500","108225000000000","234000000"
"2022/08/30","465500","6000","1.31","470500","478000","463500","422011","198555404000","108927000000000","234000000"
"2022/08/29","459500","-6000","-1.29","451000","465000","447500","339935","155107759000","107523000000000","234000000"
"2022/08/26","465500","6500","1.42","461000","467000","460500","316072","146993194500","108927000000000","234000000"
"2022/08/25","459000","8000","1.77","452500","459000","449000","262145","119340665500","107406000000000","234000000"
"2022/08/24","451000","6000","1.35","449500","454000","441500","242174","108383166000","105534000000000","234000000"
"2022/08/23","445000","2500","0.56","441500","449000","439500","225611","100119232000","104130000000000","234000000"
"2022/08/22","442500","-4500","-1.01","441500","447500","438500","207144","91821994500","103545000000000","234000000"
"2022/08/19","447000","-5000","-1.11","452500","455000","445500","225884","101569878500","104598000000000","234000000"
"2022/08/18","452000","-1500","-0.33","450000","455000","445000","255728","115095379000","105768000000000","234000000"
"2022/08/17","453500","-7000","-1.52","461000","461500","450000","343740","155733570500","106119000000000","234000000"
"2022/08/16","460500","0","0.00","464500","469500","458500","327692","151490169500","107757000000000","234000000"
"2022/08/12","460500","-11500","-2.44","469000","473000","455500","430857","198571428500","107757000000000","234000000"
"2022/08/11","472000","14000","3.06","462000","474000","461000","641654","301398296500","110448000000000","234000000"
"2022/08/10","458000","500","0.11","455500","459500","452500","280484","127937645000","107172000000000","234000000"
"2022/08/09","457500","10500","2.35","448000","458500","444000","593954","269431475000","107055000000000","234000000"
"2022/08/08","447000","1000","0.22","443000","448500","440500","256471","114505113500","104598000000000","234000000"
"2022/08/05","446000","3000","0.68","443500","449000","440500","409770","182957819500","104364000000000","234000000"
"2022/08/04","443000","6000","1.37","444500","446500","438500","573214","253917268000","103662000000000","234000000"
"2022/08/03","437000","20000","4.80","416000","437000","415500","733137","315345794000","102258000000000","234000000"
"2022/08/02","417000","-2500","-0.60","420000","424000","413000","282849","117728618500","97578000000000","234000000"
"2022/08/01","419500","-2500","-0.59","420000","428000","416500","370740","156840943000","98163000000000","234000000"
"2022/07/29","422000","6500","1.56","416000","423000","411000","721315","301694699000","98748000000000","234000000"
"2022/07/28","415500","22000","5.59","396000","419000","393500","1654973","676882637500","97227000000000","234000000"
"2022/07/27","393500","-500","-0.13","383000","397000","382500","2624439","1015619584000","92079000000000","234000000"
"2022/07/26","394000","3000","0.77","388000","409500","386500","691524","275374353000","92196000000000","234000000"
"2022/07/25","391000","9000","2.36","376000","393500","371000","653865","250565914000","91494000000000","234000000"
"2022/07/22","382000","-8500","-2.18","391500","392500","382000","300672","115683322500","89388000000000","234000000"
"2022/07/21","390500","6500","1.69","385000","390500","384500","185937","72143443000","91377000000000","234000000"
"2022/07/20","384000","1000","0.26","387000","389500","383500","181936","70114619000","89856000000000","234000000"
"2022/07/19","383000","-10000","-2.54","391500","393500","382500","205688","79472942500","89622000000000","234000000"
"2022/07/18","393000","-7000","-1.75","400000","400500","387000","233929","91683809000","91962000000000","234000000"
"2022/07/15","400000","500","0.13","401500","402000","394000","146816","58477354500","93600000000000","234000000"
"2022/07/14","399500","-500","-0.13","400000","404000","399000","197883","79341648000","93483000000000","234000000"
"2022/07/13","400000","-1000","-0.25","398500","404000","392000","223258","89361995000","93600000000000","234000000"
"2022/07/12","401000","6000","1.52","393000","403000","387500","324262","129466396000","93834000000000","234000000"
"2022/07/11","395000","7000","1.80","389000","402000","380500","345052","136303997500","92430000000000","234000000"
"2022/07/08","388000","14500","3.88","375000","392500","375000","397140","152494371000","90792000000000","234000000"
"2022/07/07","373500","3000","0.81","374500","375000","367500","223247","83026169000","87399000000000","234000000"
"2022/07/06","370500","9000","2.49","367500","374500","364000","393886","145242420500","86697000000000","234000000"
"2022/07/05","361500","5500","1.54","356500","362500","356000","219192","78856116000","84591000000000","234000000"
"2022/07/04","356000","-500","-0.14","356500","361000","352000","161015","57494233000","83304000000000","234000000"
"2022/07/01","356500","-14500","-3.91","371000","371500","356000","434833","156338269000","83421000000000","234000000"
"2022/06/30","371000","-20500","-5.24","388500","389000","370500","459845","172557186500","86814000000000","234000000"
"2022/06/29","391500","-19000","-4.63","402000","403500","391500","327192","129264759500","91611000000000","234000000"
"2022/06/28","410500","-1500","-0.36","412000","415000","406500","129697","53121997500","96057000000000","234000000"
"2022/06/27","412000","7000","1.73","408500","414500","403500","206869","84981604000","96408000000000","234000000"
"2022/06/24","405000","5000","1.25","399000","405000","398000","235758","94641770000","94770000000000","234000000"
"2022/06/23","400000","-1000","-0.25","401000","404500","391000","298719","118620210000","93600000000000","234000000"
"2022/06/22","401000","-12000","-2.91","415000","416500","401000","210875","85564180500","93834000000000","234000000"
"2022/06/21","413000","1500","0.36","414500","416500","406000","204026","83799535500","96642000000000","234000000"
"2022/06/20","411500","-14000","-3.29","426500","427000","408500","285056","117916835500","96291000000000","234000000"
"2022/06/17","425500","-1500","-0.35","419500","430000","417000","1211937","514412425000","99567000000000","234000000"
"2022/06/16","427000","7000","1.67","424500","439500","424500","365836","158223107500","99918000000000","234000000"
"2022/06/15","420000","-6500","-1.52","426000","427500","417000","275832","116242221000","98280000000000","234000000"
"2022/06/14","426500","11500","2.77","411000","432500","410500","417106","177026330500","99801000000000","234000000"
"2022/06/13","415000","-10000","-2.35","414000","420500","413500","267003","111070114500","97110000000000","234000000"
"2022/06/10","425000","2500","0.59","418000","426000","412500","285077","119263359000","99450000000000","234000000"
"2022/06/09","422500","-3000","-0.71","426000","426000","419000","208712","88237112000","98865000000000","234000000"
"2022/06/08","425500","-6500","-1.50","432500","434500","422500","215828","92160988000","99567000000000","234000000"
"2022/06/07","432000","-5500","-1.26","436500","439500","432000","180249","78448597000","101088000000000","234000000"
"2022/06/03","437500","-3000","-0.68","443500","444000","437500","154981","68167034250","102375000000000","234000000"
