종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"079550","LIG넥스원","KOSPI",,"89700","5300","6.28","86200","91400","85800","421000","37469686200","1973400000000","22000000"
"006260","LS","KOSPI",,"60600","2500","4.30","59000","61600","58800","91220","5531204800","1951320000000","32200000"
"010120","LS ELECTRIC","KOSPI",,"48200","1550","3.32","47700","49100","47450","69629","3372617650","1446000000000","30000000"
"000680","LS네트웍스","KOSPI",,"2520","75","3.07","2480","2555","2470","50934","127728670","198583600320","78803016"
"229640","LS전선아시아","KOSPI",,"7250","380","5.53","6960","8100","6960","1648583","12600367110","222030372750","30624879"
"108320","LX세미콘","KOSDAQ","우량기업부","83100","3500","4.40","81900","83300","80800","131396","10809663200","1351563330000","16264300"
"001120","LX인터내셔널","KOSPI",,"42750","700","1.66","42800","43300","42400","164805","7058470650","1656990000000","38760000"
"108670","LX하우시스","KOSPI",,"31550","650","2.10","31250","31800","31150","22712","714824850","282929988500","8967670"
"108675","LX하우시스우","KOSPI",,"15500","50","0.32","14850","15850","14850","589","9224100","16001115000","1032330"
"383800","LX홀딩스","KOSPI",,"8240","50","0.61","8230","8280","8200","117978","970538500","628552885600","76280690"
"38380K","LX홀딩스1우","KOSPI",,"10250","200","1.99","10300","10350","10050","868","8912250","15019171250","1465285"
"086960","MDS테크","KOSDAQ","중견기업부","14450","0","0.00","0","0","0","0","0","128498185600","8892608"
"023150","MH에탄올","KOSPI",,"8060","120","1.51","7710","8060","7560","51678","406211190","59470919560","7378526"
"035420","NAVER","KOSPI",,"165500","7000","4.42","163500","168500","163000","1568930","260614394500","27150123567500","164049085"
"160550","NEW","KOSDAQ","중견기업부","5340","190","3.69","5260","5480","5230","148769","797041850","149018606040","27906106"
"053290","NE능률","KOSDAQ","중견기업부","3900","295","8.18","3650","3950","3650","153532","590456600","64452597300","16526307"
"181710","NHN","KOSPI",,"21500","1200","5.91","20750","21850","20700","69977","1498780300","774369757000","36017198"
"104200","NHN벅스","KOSDAQ","중견기업부","5830","530","10.00","5380","5880","5380","197222","1126444180","86444616500","14827550"
"060250","NHN한국사이버결제","KOSDAQ","우량기업부","11700","750","6.85","11250","11750","11200","200655","2308025800","469879148700","40160611"
"400760","NH올원리츠","KOSPI",,"3420","-30","-0.87","3510","3510","3310","135842","460280845","144324000000","42200000"
"005940","NH투자증권","KOSPI",,"8970","120","1.36","8940","9050","8900","341029","3064075540","2975043311370","331665921"
"005945","NH투자증권우","KOSPI",,"9080","100","1.11","8980","9090","8980","22415","202839400","171348389440","18870968"
"338100","NH프라임리츠","KOSPI",,"4040","-45","-1.10","4085","4115","4030","31543","127661745","75386400000","18660000"
"034310","NICE","KOSPI",,"12250","-50","-0.41","12350","12650","12250","34389","423817150","464058175000","37882300"
"030190","NICE평가정보","KOSDAQ","우량기업부","12600","100","0.80","12750","12800","12500","95031","1198803550","765006732000","60714820"
"008260","NI스틸","KOSPI",,"3695","135","3.79","3610","3730","3610","67576","248217535","105677432315","28600117"
"004250","NPC","KOSPI",,"6900","340","5.18","6730","6930","6710","225551","1542109320","253368000000","36720000"
"004255","NPC우","KOSPI",,"3370","130","4.01","3350","3395","3265","28334","94360035","17793600000","5280000"
