일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/10/14","613000","9000","1.49","607000","622000","603000","51910","31806549000","12176115854000","19863158"
"2022/10/13","604000","-4000","-0.66","602000","615000","602000","60364","36736956000","11997347432000","19863158"
"2022/10/12","608000","-1000","-0.16","604000","611000","583000","54399","32712126000","12076800064000","19863158"
"2022/10/11","609000","-1000","-0.16","603000","616000","600000","57871","35119050000","12096663222000","19863158"
"2022/10/07","610000","-11000","-1.77","616000","625000","602000","56291","34291484000","12116526380000","19863158"
"2022/10/06","621000","0","0.00","617000","638000","613000","66305","41251115000","12335021118000","19863158"
"2022/10/05","621000","24000","4.02","604000","626000","597000","131922","81145094000","12335021118000","19863158"
"2022/10/04","597000","2000","0.34","591000","604000","581000","64021","38124556000","11858305326000","19863158"
"2022/09/30","595000","14000","2.41","589000","599000","577000","77106","45626493000","11818579010000","19863158"
"2022/09/29","581000","12000","2.11","579000","594000","572000","43782","25579366000","11540494798000","19863158"
"2022/09/28","569000","-22000","-3.72","584000","588000","563000","56342","32231173000","11302136902000","19863158"
"2022/09/27","591000","0","0.00","596000","597000","578000","45118","26397234000","11739126378000","19863158"
"2022/09/26","591000","-23000","-3.75","601000","611000","587000","63831","38053873000","11739126378000","19863158"
"2022/09/23","614000","10000","1.66","610000","634000","599000","85266","52725712412","12195979012000","19863158"
"2022/09/22","604000","4000","0.67","594000","609000","586000","47164","28238861860","11997347432000","19863158"
"2022/09/21","600000","-1000","-0.17","595000","603000","590000","42513","25342241772","11917894800000","19863158"
"2022/09/20","601000","13000","2.21","593000","604000","590000","45203","27130598000","11937757958000","19863158"
"2022/09/19","588000","-30000","-4.85","614000","615000","582000","105885","62735857000","11679536904000","19863158"
"2022/09/16","618000","-16000","-2.52","630000","640000","614000","77499","48228224000","12275431644000","19863158"
"2022/09/15","634000","10000","1.60","624000","647000","617000","79284","50116680000","12593242172000","19863158"
"2022/09/14","624000","4000","0.65","598000","626000","598000","95539","58895292000","12394610592000","19863158"
"2022/09/13","620000","5000","0.81","625000","629000","612000","86081","53479036000","12315157960000","19863158"
"2022/09/08","615000","-12000","-1.91","628000","629000","605000","99978","61478395000","12215842170000","19863158"
