"통계연도","자치구코드","자치구명","정원합계","정원_국공립","정원_사회복지법인","정원_법인단체등","정원_민간","정원_가정","정원_부모협동","정원_직장"
"2015","11350","노원","14797","3249","228","20","4791","6238","30","241"
"2015","11320","도봉","10827","1787","33","74","5991","2853","19","70"
"2015","11305","강북","9309","1781","74","196","5852","1327","27","52"
"2015","11290","성북","12493","3336","190","1136","4796","2853","37","145"
"2015","11260","중랑","12064","2797","114","276","6649","2070","0","158"
"2015","11230","동대문","9762","2812","0","204","4416","2053","0","277"
"2015","11215","광진","9386","2035","0","147","5547","1440","85","132"
"2015","11200","성동","8322","4009","0","202","2287","1519","0","305"
"2015","11170","용산","5554","1601","89","374","1874","977","33","606"
"2015","11140","중구","4067","1765","0","419","458","297","0","1128"
"2015","11110","종로","4867","1986","119","149","944","148","0","1521"
"2015","11000","계","274132","70561","2367","7475","122831","55916","852","14130"
"2014","11710","송파","17053","3137","84","276","8195","4522","0","839"
"2014","11110","종로","4728","1976","119","149","950","148","0","1386"
"2014","11140","중구","4039","1807","0","427","458","317","0","1030"
"2014","11170","용산","5670","1535","89","453","2003","979","33","578"
"2014","11200","성동","8210","3550","0","202","2513","1640","0","305"
"2014","11215","광진","9674","2018","0","183","5764","1492","85","132"
"2014","11230","동대문","9697","2699","0","204","4462","2055","0","277"
"2014","11260","중랑","12389","2768","114","276","6867","2206","0","158"
"2014","11290","성북","12560","2769","151","1282","5195","2983","37","143"
"2014","11305","강북","9695","1750","153","216","6060","1437","27","52"
"2014","11320","도봉","11151","1786","33","74","6062","3077","49","70"
"2014","11350","노원","15108","3079","228","20","4905","6541","30","305"
"2014","11740","강동","13676","2542","87","168","7752","2953","0","174"
"2014","11380","은평","16028","1672","131","332","11615","2163","39","76"
"2014","11000","계","275464","66109","2464","8089","126378","58623","822","12979"
"2014","11410","서대문","7958","2308","0","156","3799","1181","20","494"
"2014","11440","마포","9988","3405","0","604","3423","1951","153","452"
"2014","11470","양천","13796","3495","0","222","6194","3628","16","241"
"2014","11500","강서","17387","3585","344","170","8880","4214","34","160"
"2014","11530","구로","14118","3191","311","567","6157","3406","117","369"
"2014","11545","금천","8653","1686","223","995","3848","1554","14","333"
"2014","11560","영등포","11439","2023","123","166","5086","2136","0","1905"
"2014","11590","동작","9803","2818","103","101","4543","1992","49","197"
"2014","11620","관악","12186","3221","171","609","4946","2551","37","651"
"2014","11650","서초","9194","2811","0","237","2934","1825","82","1305"
"2014","11680","강남","11264","4478","0","0","3767","1672","0","1347"
